ACTION QUERY 10000 10 home schooling
ACTION SNIPPET 10000 2002 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2005 SNIPPET_RELEVANT b'1028370'
ACTION DOC 10000 2025 EXAMINING_DOCUMENT b'1028370'
ACTION SNIPPET 10000 2028 SNIPPET_NOT_RELEVANT b'184015'
ACTION SNIPPET 10000 2031 SNIPPET_NOT_RELEVANT b'1338880'
ACTION SNIPPET 10000 2034 SEEN_PREVIOUSLY b'905058'
ACTION QUERY 10000 2044 Homeschooling pros and cons
ACTION SERP 10000 2049 EXAMINE_SERP
ACTION SNIPPET 10000 2052 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2055 SNIPPET_NOT_RELEVANT b'1848477'
ACTION SNIPPET 10000 2058 SNIPPET_RELEVANT b'1805733'
ACTION DOC 10000 2078 EXAMINING_DOCUMENT b'1805733'
ACTION SNIPPET 10000 2081 SNIPPET_RELEVANT b'1792201'
ACTION DOC 10000 2101 EXAMINING_DOCUMENT b'1792201'
ACTION SNIPPET 10000 2104 SNIPPET_NOT_RELEVANT b'1835283'
ACTION SNIPPET 10000 2107 SNIPPET_NOT_RELEVANT b'490764'
ACTION SNIPPET 10000 2110 SNIPPET_NOT_RELEVANT b'541925'
ACTION SNIPPET 10000 2113 SNIPPET_NOT_RELEVANT b'1787258'
ACTION SNIPPET 10000 2116 SNIPPET_RELEVANT b'1694692'
ACTION DOC 10000 2136 EXAMINING_DOCUMENT b'1694692'
ACTION SNIPPET 10000 2139 SNIPPET_RELEVANT b'1708339'
ACTION DOC 10000 2159 EXAMINING_DOCUMENT b'1708339'
ACTION QUERY 10000 2169 Homeschooling with unschooling
ACTION SERP 10000 2174 EXAMINE_SERP
ACTION SNIPPET 10000 2177 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2180 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2183 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2186 SNIPPET_RELEVANT b'1807588'
ACTION DOC 10000 2206 EXAMINING_DOCUMENT b'1807588'
ACTION MARK 10000 2209 CONSIDERED_RELEVANT b'1807588'
ACTION SNIPPET 10000 2212 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2215 SNIPPET_RELEVANT b'1808089'
ACTION DOC 10000 2235 EXAMINING_DOCUMENT b'1808089'
ACTION MARK 10000 2238 CONSIDERED_RELEVANT b'1808089'
ACTION SNIPPET 10000 2241 SNIPPET_NOT_RELEVANT b'813418'
ACTION SNIPPET 10000 2244 SEEN_PREVIOUSLY b'1630458'
ACTION SNIPPET 10000 2247 SNIPPET_RELEVANT b'1808130'
ACTION DOC 10000 2267 EXAMINING_DOCUMENT b'1808130'
ACTION MARK 10000 2270 CONSIDERED_RELEVANT b'1808130'
ACTION SNIPPET 10000 2273 SEEN_PREVIOUSLY b'1307036'
ACTION QUERY 10000 2283 Homeschooling and college
ACTION SERP 10000 2288 EXAMINE_SERP
ACTION SNIPPET 10000 2291 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2294 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2297 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2300 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 2303 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2306 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 2309 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2312 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 2315 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 2318 SEEN_PREVIOUSLY b'1618576'
ACTION QUERY 10000 2328 Homeschooling and sports
ACTION SERP 10000 2333 EXAMINE_SERP
ACTION SNIPPET 10000 2336 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2339 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2342 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2345 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2348 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 2351 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 2354 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2357 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 2360 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 2363 SEEN_PREVIOUSLY b'1746475'
ACTION QUERY 10000 2373 Homeschooling and special needs
ACTION SERP 10000 2378 EXAMINE_SERP
ACTION SNIPPET 10000 2381 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2384 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2387 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2390 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2393 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 2396 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2399 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 2402 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 2405 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 2408 SEEN_PREVIOUSLY b'579846'
ACTION QUERY 10000 2418 Homeschooling and family values
ACTION SERP 10000 2423 EXAMINE_SERP
ACTION SNIPPET 10000 2426 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2429 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2432 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2435 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2438 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2441 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 2444 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 2447 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 2450 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 2453 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 2463 Homeschooling and social media
ACTION SERP 10000 2468 EXAMINE_SERP
ACTION SNIPPET 10000 2471 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2474 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2477 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2480 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 2483 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2486 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2489 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 2492 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 2495 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 2498 SEEN_PREVIOUSLY b'1746475'
ACTION QUERY 10000 2508 Homeschooling with autism
ACTION SERP 10000 2513 EXAMINE_SERP
ACTION SNIPPET 10000 2516 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2519 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2522 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2525 SNIPPET_NOT_RELEVANT b'1853789'
ACTION SNIPPET 10000 2528 SNIPPET_NOT_RELEVANT b'1288112'
ACTION SNIPPET 10000 2531 SNIPPET_NOT_RELEVANT b'1636613'
ACTION SNIPPET 10000 2534 SNIPPET_NOT_RELEVANT b'1807510'
ACTION SNIPPET 10000 2537 SNIPPET_NOT_RELEVANT b'1432901'
ACTION SNIPPET 10000 2540 SNIPPET_NOT_RELEVANT b'1553865'
ACTION SNIPPET 10000 2543 SNIPPET_RELEVANT b'1453124'
ACTION DOC 10000 2563 EXAMINING_DOCUMENT b'1453124'
ACTION QUERY 10000 2573 Homeschooling for teens
ACTION SERP 10000 2578 EXAMINE_SERP
ACTION SNIPPET 10000 2581 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2584 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2587 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2590 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2593 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 2596 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2599 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 2602 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 2605 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 2608 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 2618 Homeschooling podcasts
ACTION SERP 10000 2623 EXAMINE_SERP
ACTION SNIPPET 10000 2626 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2629 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2632 SNIPPET_NOT_RELEVANT b'1690613'
ACTION SNIPPET 10000 2635 SNIPPET_RELEVANT b'1651120'
ACTION DOC 10000 2655 EXAMINING_DOCUMENT b'1651120'
ACTION SNIPPET 10000 2658 SNIPPET_RELEVANT b'1671782'
ACTION DOC 10000 2678 EXAMINING_DOCUMENT b'1671782'
ACTION SNIPPET 10000 2681 SNIPPET_RELEVANT b'1734512'
ACTION DOC 10000 2701 EXAMINING_DOCUMENT b'1734512'
ACTION SNIPPET 10000 2704 SNIPPET_RELEVANT b'1689088'
ACTION DOC 10000 2724 EXAMINING_DOCUMENT b'1689088'
ACTION SNIPPET 10000 2727 SNIPPET_RELEVANT b'1694981'
ACTION DOC 10000 2747 EXAMINING_DOCUMENT b'1694981'
ACTION SNIPPET 10000 2750 SNIPPET_NOT_RELEVANT b'1688255'
ACTION SNIPPET 10000 2753 SNIPPET_RELEVANT b'1713604'
ACTION DOC 10000 2773 EXAMINING_DOCUMENT b'1713604'
ACTION QUERY 10000 2783 Homeschooling and the law
ACTION SERP 10000 2788 EXAMINE_SERP
ACTION SNIPPET 10000 2791 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2794 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2797 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2800 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2803 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 2806 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2809 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 2812 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 2815 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 2818 SEEN_PREVIOUSLY b'579846'
ACTION QUERY 10000 2828 Homeschooling and religious education
ACTION SERP 10000 2833 EXAMINE_SERP
ACTION SNIPPET 10000 2836 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2839 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2842 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2845 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 2848 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 2851 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2854 SEEN_PREVIOUSLY b'1266276'
ACTION SNIPPET 10000 2857 SEEN_PREVIOUSLY b'1630458'
ACTION SNIPPET 10000 2860 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2863 SEEN_PREVIOUSLY b'403043'
ACTION QUERY 10000 2873 Homeschooling with ADHD
ACTION SERP 10000 2878 EXAMINE_SERP
ACTION SNIPPET 10000 2881 SNIPPET_NOT_RELEVANT b'997219'
ACTION SNIPPET 10000 2884 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2887 SNIPPET_RELEVANT b'489019'
ACTION DOC 10000 2907 EXAMINING_DOCUMENT b'489019'
ACTION SNIPPET 10000 2910 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2913 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2916 SNIPPET_NOT_RELEVANT b'701640'
ACTION SNIPPET 10000 2919 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2922 SNIPPET_NOT_RELEVANT b'869367'
ACTION SNIPPET 10000 2925 SNIPPET_RELEVANT b'1268288'
ACTION DOC 10000 2945 EXAMINING_DOCUMENT b'1268288'
ACTION SNIPPET 10000 2948 SEEN_PREVIOUSLY b'1283841'
ACTION QUERY 10000 2958 Homeschooling in rural areas
ACTION SERP 10000 2963 EXAMINE_SERP
ACTION SNIPPET 10000 2966 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 2969 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 2972 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 2975 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 2978 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 2981 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 2984 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 2987 SNIPPET_NOT_RELEVANT b'464458'
ACTION SNIPPET 10000 2990 SNIPPET_RELEVANT b'254409'
ACTION DOC 10000 3010 EXAMINING_DOCUMENT b'254409'
ACTION SNIPPET 10000 3013 SNIPPET_RELEVANT b'429777'
ACTION DOC 10000 3033 EXAMINING_DOCUMENT b'429777'
ACTION QUERY 10000 3043 Homeschooling international students
ACTION SERP 10000 3048 EXAMINE_SERP
ACTION SNIPPET 10000 3051 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3054 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3057 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3060 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3063 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3066 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 3069 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3072 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3075 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 3078 SEEN_PREVIOUSLY b'1746475'
ACTION QUERY 10000 3088 Homeschooling for military families
ACTION SERP 10000 3093 EXAMINE_SERP
ACTION SNIPPET 10000 3096 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3099 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3102 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3105 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3108 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3111 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 3114 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3117 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 3120 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3123 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 3133 Homeschooling virtual labs
ACTION SERP 10000 3138 EXAMINE_SERP
ACTION SNIPPET 10000 3141 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3144 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3147 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3150 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3153 SNIPPET_NOT_RELEVANT b'1190288'
ACTION SNIPPET 10000 3156 SNIPPET_RELEVANT b'1798435'
ACTION DOC 10000 3176 EXAMINING_DOCUMENT b'1798435'
ACTION SNIPPET 10000 3179 SNIPPET_RELEVANT b'1799436'
ACTION DOC 10000 3199 EXAMINING_DOCUMENT b'1799436'
ACTION SNIPPET 10000 3202 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3205 SNIPPET_NOT_RELEVANT b'1798250'
ACTION SNIPPET 10000 3208 SEEN_PREVIOUSLY b'1283837'
ACTION QUERY 10000 3218 Homeschooling and teaching methods
ACTION SERP 10000 3223 EXAMINE_SERP
ACTION SNIPPET 10000 3226 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3229 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3232 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3235 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3238 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3241 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3244 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3247 SNIPPET_NOT_RELEVANT b'365738'
ACTION SNIPPET 10000 3250 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 3253 SNIPPET_NOT_RELEVANT b'1131138'
ACTION QUERY 10000 3263 Homeschooling and gifted education
ACTION SERP 10000 3268 EXAMINE_SERP
ACTION SNIPPET 10000 3271 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3274 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3277 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3280 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3283 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3286 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3289 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3292 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 3295 SEEN_PREVIOUSLY b'1534317'
ACTION SNIPPET 10000 3298 SNIPPET_NOT_RELEVANT b'1371957'
ACTION QUERY 10000 3308 Homeschooling during a pandemic
ACTION SERP 10000 3313 EXAMINE_SERP
ACTION SNIPPET 10000 3316 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3319 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3322 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3325 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3328 SNIPPET_RELEVANT b'1748936'
ACTION DOC 10000 3348 EXAMINING_DOCUMENT b'1748936'
ACTION SNIPPET 10000 3351 SNIPPET_NOT_RELEVANT b'1718554'
ACTION SNIPPET 10000 3354 SNIPPET_RELEVANT b'1693489'
ACTION DOC 10000 3374 EXAMINING_DOCUMENT b'1693489'
ACTION SNIPPET 10000 3377 SNIPPET_RELEVANT b'1708588'
ACTION DOC 10000 3397 EXAMINING_DOCUMENT b'1708588'
ACTION SNIPPET 10000 3400 SNIPPET_RELEVANT b'1711881'
ACTION DOC 10000 3420 EXAMINING_DOCUMENT b'1711881'
ACTION SNIPPET 10000 3423 SNIPPET_RELEVANT b'1688060'
ACTION DOC 10000 3443 EXAMINING_DOCUMENT b'1688060'
ACTION QUERY 10000 3453 Homeschooling and technology
ACTION SERP 10000 3458 EXAMINE_SERP
ACTION SNIPPET 10000 3461 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3464 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3467 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3470 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3473 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3476 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3479 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 3482 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 3485 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 3488 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 3498 Homeschooling and standardized testing
ACTION SERP 10000 3503 EXAMINE_SERP
ACTION SNIPPET 10000 3506 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3509 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3512 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3515 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3518 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3521 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3524 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3527 SEEN_PREVIOUSLY b'1534317'
ACTION SNIPPET 10000 3530 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 3533 SEEN_PREVIOUSLY b'1746475'
ACTION QUERY 10000 3543 Homeschooling and civics education
ACTION SERP 10000 3548 EXAMINE_SERP
ACTION SNIPPET 10000 3551 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3554 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3557 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3560 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3563 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3566 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3569 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3572 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 3575 SNIPPET_NOT_RELEVANT b'1423987'
ACTION SNIPPET 10000 3578 SNIPPET_NOT_RELEVANT b'1157136'
ACTION QUERY 10000 3588 Homeschooling and nature studies
ACTION SERP 10000 3593 EXAMINE_SERP
ACTION SNIPPET 10000 3596 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3599 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3602 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3605 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3608 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3611 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3614 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3617 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 3620 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 3623 SEEN_PREVIOUSLY b'1534317'
ACTION QUERY 10000 3633 Homeschooling and social studies
ACTION SERP 10000 3638 EXAMINE_SERP
ACTION SNIPPET 10000 3641 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3644 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3647 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3650 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3653 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3656 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3659 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3662 SEEN_PREVIOUSLY b'1618576'
ACTION SNIPPET 10000 3665 SEEN_PREVIOUSLY b'1534317'
ACTION SNIPPET 10000 3668 SEEN_PREVIOUSLY b'1266276'
ACTION QUERY 10000 3678 Homeschooling and foreign language study
ACTION SERP 10000 3683 EXAMINE_SERP
ACTION SNIPPET 10000 3686 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3689 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3692 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3695 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3698 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3701 SNIPPET_NOT_RELEVANT b'498170'
ACTION SNIPPET 10000 3704 SNIPPET_NOT_RELEVANT b'933824'
ACTION SNIPPET 10000 3707 SNIPPET_RELEVANT b'451931'
ACTION DOC 10000 3727 EXAMINING_DOCUMENT b'451931'
ACTION SNIPPET 10000 3730 SNIPPET_NOT_RELEVANT b'974713'
ACTION SNIPPET 10000 3733 SNIPPET_RELEVANT b'476269'
ACTION DOC 10000 3753 EXAMINING_DOCUMENT b'476269'
ACTION QUERY 10000 3763 Homeschooling and physical education
ACTION SERP 10000 3768 EXAMINE_SERP
ACTION SNIPPET 10000 3771 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3774 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3777 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3780 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3783 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3786 SEEN_PREVIOUSLY b'1764140'
ACTION SNIPPET 10000 3789 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3792 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3795 SNIPPET_RELEVANT b'1795224'
ACTION DOC 10000 3815 EXAMINING_DOCUMENT b'1795224'
ACTION MARK 10000 3818 CONSIDERED_RELEVANT b'1795224'
ACTION SNIPPET 10000 3821 SEEN_PREVIOUSLY b'1004118'
ACTION QUERY 10000 3831 Homeschooling and arts education
ACTION SERP 10000 3836 EXAMINE_SERP
ACTION SNIPPET 10000 3839 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3842 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3845 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3848 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3851 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3854 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3857 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3860 SEEN_PREVIOUSLY b'1746475'
ACTION SNIPPET 10000 3863 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 3866 SEEN_PREVIOUSLY b'1618576'
ACTION QUERY 10000 3876 Homeschooling and community service
ACTION SERP 10000 3881 EXAMINE_SERP
ACTION SNIPPET 10000 3884 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3887 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 3890 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 3893 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 3896 SEEN_PREVIOUSLY b'905058'
ACTION SNIPPET 10000 3899 SEEN_PREVIOUSLY b'1283841'
ACTION SNIPPET 10000 3902 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 3905 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 3908 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 3911 SEEN_PREVIOUSLY b'1746475'
ACTION QUERY 10000 3921 Homeschooling and home economics
ACTION SERP 10000 3926 EXAMINE_SERP
ACTION SNIPPET 10000 3929 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 3932 SEEN_PREVIOUSLY b'1203538'
